id_servicios_restaurantes,servicios_restaurantes
0KPTB,schnitzelhaus restaurant
MQ9Q3,elis bar b que
T5PS4,sociale italian tapas  pizza bar
5IS2G,copper top pub
KF7RJ,safety harbor resort  spa trademark collection
SZYBF,bilbos bbq n grill
VW9DJ,scores gentlemens club  steakhouse
L49O7,smoothie king
7KCWQ,tace lounge new orleans cuisine  jazz
WLIA1,fitlife foods  st petersburg
FM2NG,e and l pizza
1XGHX,crab house
AME3P,red robin gourmet burgers and brews
M0TMN,the independent
Y2WDY,the spot sushi burritos
LLOE7,sunshine cafe
3QWRZ,the hungry greek
BC7MN,frabottas beach kitchen
VMINA,carmelitas mexican restaurant
Y4YSL,thai legacy restaurant
ET20R,irb sushi
83EUK,ny pizza grill
0E7UM,daisy hair design
FHQM6,sunset grille
JEX8I,texas roadhouse
ZUXBX,4 rivers smokehouse
QJC93,burger king
VTQR2,besito mexican restaurant
JFSQ9,keystone korner
AZC4X,bandit coffee co
5N1ZG,east coast pizza
Y2A6J,whistle stop gourmet coffee shop
EP5YP,suegra tequila cantina
6GY4S,little thai cafe
WTN1A,campanellas italian restaurant  pizza
MC7JW,captain bills oyster bar
O1A6Q,moes southwestern grill of wesley chapel
BKEZD,city market eats
KN0WT,berlins doener
1ATW1,michaels grill
2HWG3,pollo tropical
5VMBM,bros pizzeria  bar
0Q3AO,il tavolo trattoria
DOBGE,dunedin bagels  deli
FFUQ0,alexs
LPSL0,uncle mikes smokehouse grill
C67D0,flippers beach bar
X2AAP,davincis cafe
1BZO7,rivers edge
21DQ8,athens restaurant
H3H0R,north 30th sports pub  grille
JYOPW,montauro ristorante
9O6R6,zoes kitchen
RTI6T,global afare
GSP15,dominics italian grille
UK8SB,circle s bbq
3PK1W,havana dreamers cafe
4KQCC,show palace dinner theatre
1RS59,wave nightclub at shephards
PYD10,ploy thai
5TX4C,nitas place
TKH4D,cask and ale
QPKB6,shephards beach resort
65248,ronnie pastramis deli and catering
G0Y79,angelos pizza
SHW6R,als finger licking good barbque
86A84,ginza restaurant
699MR,euro food  deli
PFARM,tjs italian cafe
BKKDA,larrys giant subs
FTCYP,china taste
ZXRN0,bob evans
KPG9K,enjoi sweets  company
M2B0F,oec japanese sushi  hibachi
772U2,brew d licious
SQQP3,simply delicious  country market  deli
NO233,central pizza
QH7D3,shark tales
IW73Y,fantastic sams cut  color
AY6PS,tamarind tree cafe
95YZ4,bella kouzina
E7XJA,aunties soul food  more
02QFX,newks eatery
AEQ32,crispers
YPA7Y,marina restaurant
U9R1J,italian kitchen  cafe
K30JM,great clips
8ZH5U,la casona
YX6TV,mayoor indian restaurant
3PO2D,culvers
CQOLN,dunkin
U8EB7,wawa
9WYOK,brick house tavern  tap
LYF6L,untouchables pasta  pizza
547PY,the blind tiger cafe  ybor city
COI9L,five guys burgers and fries
PE7O5,manna from heaven
4UBAT,yeomans cask and lion
7ERZF,freshii
WT4ZH,osaka sushi
B61EV,grindhouse
LDTOC,1200 chophouse
XFQXQ,maggie maes sunrise cafe
BSGZM,cove cay golf club
O15S5,provisions coffee  kitchen
MG8IP,grand china
32NBH,pitas republic
8A703,brunchies  lutz
SCN7Y,bobalouies grille  sports garden
LMOEM,anthonys coal fired pizza
QNPKC,dickeys barbecue pit
Z6MDB,sharkys beach bar
8HV8O,ledo pizza
R3NLX,hello sunshine cafe
1NVN4,harrs surf  turf market inc
6OVWK,jessis flaming fruit sauce
2VXH8,poblanos mexican grill  bar
AOCCE,momma jammz
TQT10,sofresh
FGD7R,el gallo grande
Y9NVZ,longhorn steakhouse
0HNBL,nestle toll house cafe by chip
8FE1K,pineapplez
F55PM,cozy corner
PMGIK,filipiniana philippine caf
3OV6G,wayback burgers
DIU7M,spinners revolving rooftop lounge
EVXIV,lobster haven
6KJN4,gateway to india
DHPY8,liborios latin cafe
5E8I2,oasis on the boulevard
1G5LU,chicago paulies
LMJDH,dairy queen grill  chill
19N0U,701 taphouse
BGB7A,brasil tropical
54HR0,groupers on the gulf
RV5XQ,petra restaurant
EF3MO,jungle prada tavern
E1SRB,china kitchen
Q0AMD,embassy suites by hilton tampa airport westshore
FY6YQ,the spot bar and grill
2GZAZ,sunova beach
CA422,enzos pizzeria  pasta from new york
QYIV8,planet smoothie
VVAF8,angelitos rotisserie  more
C6Z9S,lime fresh mexican grill
HC1QV,rollin oats market
TP5MR,gulfport family restaurant
2DKM4,daddy dawgs hot dogs  ice cream
YZ8MK,el chicanito mexican restaurant
PRD0U,oe market
4H5TB,p js oyster bar
13PY5,the silver spoon diner
RSVP9,ribits bbq
3OBJ5,bambino pizza
A6TIV,grill 131
P70NM,michelle faedos tampeo cuisine
0ANPJ,new york bagel shops
9AAP5,natures table
1ZV1K,big bok choy bistro
XP039,serious cookie company
7V6A3,capo de monte italian market
UCD5L,tilted kilt pub and eatery
39WGS,boardwalk pasta  seafood
TWYBE,black palm restaurant
9BBL3,seminole hard rock hotel  casino tampa
0BNIT,fubar downtown
MSZ86,j ds restaurant  lounge
JMT3K,tropical smoothie cafe
VAMZ0,captain als
XU3V5,dairy queen
1RPLD,glory days grill
V9LFW,treasure island fun center
LUKZ6,five guys famous burgers  fries
A36Q5,peggys corral
G25XO,k cs korner restaurant
JZS1T,r js barber shop
5PDLM,bollywood cafe  grill
ELDN5,big tims bbq
HTAN8,chickfila
O8XZ3,westshore pizza
WD9EK,aunt chiladas cantina
DBUJY,emerald bar
8F1W6,e sushi japanese grill  sushi bar
0Y0PM,phillys best
SGTXL,deccan spice
OSV6Y,skyway cafe
V3Z37,captain just crab house
KO0S5,karma juice bar  eatery  saint petersburg
9UVPC,pit boss barbq
ATFYZ,top china
9R0S4,angelas pizza
JFR0I,house of china
NELZU,flatbreads
HLNBA,florida subs  gyros
8QTIR,kobe japanese steakhouse  tampa
ZDCC5,krystal
KOFRO,yard of ale st pete
XR1Q8,sushi avenue
5JOS9,the c house
HNMR8,seffner tiki hut
SCH5S,villa roma italian restaurant  pizza
JR367,jersey mikes subs
K5OSE,kc que bbq
4F1SX,sundial st pete
EDTKY,cafe vienna
1CU2H,bradys bbq
DAXLQ,basil fusion bistro
M52ZX,alma llanera venezuelan food
PWRQZ,san jose mexican restaurant
Q49OY,slice of life pizzeria
JDLPO,finleys irish pub  eatery
R6QI6,swahrey
2VEG4,thailand restaurant
