id_servicios_restaurantes,servicios_restaurantes
8GU4G,julios latin grill
46BBE,island breeze cuban cafe
Q2LU2,whiskey willies
LETKT,proof  cocktail club
MN6UZ,st pete brasserie
SVISU,invision creative cafe
NBZMA,house of mama ds barbecue and seafood
S0NVX,garden restaurant
XBO6G,galley pizza  seafood
MM80K,pizza bizzar
XVCXI,tandoor indian cuisine
CS926,felonys bar and grill
VUQY6,kleankut barbershop
GMAX3,saddlebrook resort tampa
FPKL1,viitals specialty bakery  lifestyle cafe
T40BD,krispy krab 2
H94IC,plummers family restaurant
ZJ61P,nortons sports bar  grill
DTWE5,casa jimenez wines  tapas
QXJYW,maximilians restaurant
U2RVY,stars bar and grill
QFKNW,martini republic
F85A9,artisans edge
UAF43,pascals artisan bistro  gourmet coffee
EBSZB,apadana pub
MWZ9I,the neptune lounge
J6PC5,dunedin golf club
4F3PX,bungalow bistro
PG674,hennesseys
2TJRX,mikes pies
3WWPY,nirvana cafe  juice bar
SM91D,in the cutting zone
MBW63,whiskey park north
NLQ2V,bennigans
FJ4E1,churroman
PGHJL,salon tre anne
MQNDQ,pasadena bar  grill
18OKJ,scottys pizzeria
B7P4O,tampa greek festival
7RCKZ,bella pizza
6VWHL,the salon 10 oldsmar  paul mitchell focus salon
PUZ5B,weeki wachee candy
VB143,gasparilla bar
9PPHD,pizza pino
FWGER,soul food street kitchen
NJ43N,slice of the burg
3H4X5,sushi rock grill
DPG6U,club lust
CEQFO,cracovia polish restaurant
6OSM0,thai lotus restaurant
R7GKU,metro deli
PCU7I,pok fun
AAH6G,brew n burger
RRFCM,flock and stock
K6H56,pho loc tho
MHQIW,green mango
MN2H0,ha long bay
MIQ48,mr mango tampa
6G5FM,poke 88
J5OEU,kellys bake shop  cafe
U2NXK,sekushi
4SY52,laser ops extreme gaming arcade  tampa
Y51LW,cipresso seminole hard rock   tampa
VLO6D,the boozy pig
0DZZX,maple street biscuit company  bloomingdale
2BD9E,china legend
M463C,speakeasy kava
2WTZ6,barrelhouse barber
610ZH,poke falls
T4KOU,emperors of tampa
J572T,fish bowl kitchen
99I2J,the urban stillhouse
XFVM1,jocky boys bbq
PEFSP,martins bbq
RIZMC,hot rod smoke bbq
6ERQP,fo cheezy twisted meltz
BKL6O,riverwalk cafe at tma
LC3R0,anchor and brine
ZC1UH,big cs bbq
K8F15,holiday mall barber shop
Y58L4,zauq
O3YCQ,the bbq spot
LETB1,happy cactus mexican cocina
VHZQT,sabrositos
X2XXV,82 west distilling
1RNJG,hammered harrys
SPTCM,a simpler place farm  market
5V0PL,wingets
P31LF,datz
G4UD7,rogers chicago hotdogs
89MJ8,seminole heights general store
W689Q,game changers barber shop
GLDV7,taqueria y antojitos la poblanita
KYQL1,jubilees bbq
1TRDA,caribbeans finest
7XLM7,symposium craft beer  fine wine
XM6P0,fuel bar on lime
NPH1X,marlenes original breakfast sandwich
RVLQP,the humble butternut
1JGFI,chanta european cuisine
K2N1P,oggi pizzeria
OJ234,b  d barber shop
7X4TI,breeze 19 kitchen bar
STVZL,lemmons cafe
EH6PY,smashburger
GZIIY,pier teaki
SNQ3P,justins pizza
P5JJ8,diamond dominican beauty salon
0HJJT,latinos cuisine
D44M7,boil spot
RLN00,irish 31 clearwater beach
VI8QL,sweet elizabeths organics
N92LG,starbucks gate f
N27NJ,screaming jalapeno
8U5DP,healthy  fresco
VLK3L,stones throw at armature works
MKCFC,revelations cafe
Z2W3S,raices
SMD0S,moxies joint cafe  grille
BBMVC,bellas ristorante pizzeria  bar
KYBR3,22nd street coffee
VHBKF,clean juice wiregrass
4CZ45,the rusty nail
PXERK,alma rest and bar
8YRK0,the chicken spot
WZNZU,moschellas italian eatery  market
TZWIV,yummi crab
BR862,funnel vision food truck
5BHXW,the tavern at cheval
R2Z0M,morgan maes oyster house
XYT4J,fusion resort
SKRWU,banh mi factory
INS33,rosemary grill
PFFAF,vinny ds pizza  soda to go
DJEAB,coastal pizza kitchen
630HZ,h2 kitchen  pizzeria
3W1SM,fresca vida florida
Z39AN,adapt freshness
E8LSN,twisted turtle bar and grill
MAH25,caffe connection
BAIQO,chow bella
KHD0V,el tizoncito restaurant
MZFNS,bubbakoos burritos
JNA59,rocky pointe cafe
CCCJ5,fado
8DPS8,sammy  pacos
NB81X,muchachas
IINHG,teak
JV0G3,vantage rooftop bar
HL740,lit nutrition
QGK6O,doormet gourmet cafe delivery  catering
X9NXO,hawk n hog
HVF6Y,grill fresh
APFWE,dunedin vegan deli
VZP9H,treble makers
6MF8G,widow fletchers
ENBE4,sport clips haircuts of terra bella
X4XYU,oasis rotisserie chicken  more
0M9KC,the daily grind coffee shop
ROJEH,hogans hangout
SFP91,tacos las californias
2CK0J,vista at the top
TU394,devitos italian specialties
L0DMU,get faded
ASJ83,hot n juicy crab
EIU1H,black radish grocer
4U3PP,arepas donde flor
BDHFZ,moon frog arepas
KHQ1N,our houz soul cafe
WCOEF,cerealholic cafe and bar
JXAUB,tubbys q and smokehouse
VXX6N,jacks shack
0S4KS,the grill at morris bridge
LSMX1,bluefin japanese restaurant
TRZJM,corazon restaurant and bar
0KPXW,wing boyz
48XLY,fresh bowl grill
G89BX,cocktail st pete
6UEVE,bayou bodega
69CSH,dunn baked
1ZIFR,ember rooftop lounge at the cambria madeira beach
EGWVH,zimo bakery  cafe
V6F8N,bambu
K8IKB,district south kitchen  craft
M0F5Q,secrets gentlemens club
HZ4A9,22 south food hall
1FGOQ,the scott
57AT8,paella  tapas
1C566,faith latin cuisine
7PDCD,meanchis peruvian inspired sandwiches
52NF3,the battery
3OPT6,cruisin tikis tampa
5IVPE,orange blossom cafe
8NU6L,mazzaro italian market
LCRZC,te nona delicatus
6H3BE,whiskey wings tyrone
C8T96,pizza pie
MNTE1,the brass captain
BBMJA,chickn fun
CAYYP,pinto thai restaurant
UR2FB,wingstop
RFC79,capital one caf
N7OZF,pho 60
TWIQ9,tropical poke cafe
CSJ42,westshore pizza  new tampa
5PTYC,simply asian salads
Z2L8K,sawatdee thai  sushi
3OKPO,dented keg ale works
1TZGC,hitchcocks market
GW65T,banana hammock
X4X44,cru cellars  westshore marina
T5PJ1,lady and the mug  tampa
9RHTY,lillie maes southern cafe
L8P7S,ayoki japan
C890R,gallery chophouse
H2SHJ,waterworks bar and grill
UAZVW,papas new york diner
VJ3N2,octave
LAY91,abc seafood chinese restaurant
4DM8X,kd crustaceans
KJTHW,estelas family cantina
DY8AG,garden grille cafe
1A7LH,serendipity cafe
T2PVS,i c sharks waterfront cafe  tiki bar
ICEG2,the thirsty marlin
WXOFX,bangkok tokyo restaurant
YGP1F,bangkok thai restaurant
KGAPN,caf de bangkok
86UT7,floridan palace hotel bw premier collection
LGKIM,friendly tavern
C0QYW,ladies of the sea  soulfood
B4DYE,spaghetti warehouse
FDLYW,siam thai  sushi
GCU1I,columbia restaurant airport cafe
17H11,sushi yaki
03JBP,frenchys outpost bar  grill
B0BMS,tropical cuisine
6APU5,hugos spanish restaurant
OYX9E,lighthouse doughnuts
AHDB4,oyster shucker
2HPJN,sands bistro on the beach
1R14Z,dhaniya drums indian food
KF0K3,pizza haven
FY2RE,boardwalk pizza and gyros
7RYHZ,salems gyro  subs
5A4NG,tokyo sushi cafe in baywalk
ITIRI,saigon blonde
WUBAS,brus barbershop
8RMWS,the crafted plate
5D36U,daily eats
Q0DQU,the hub bar
WFUHA,mad chiller world
FBH34,middle grounds grill
7MYQ0,lauberge des artistes
QLD9V,don pancho villa
Y6PAH,the taco traveler
3OYIG,esb brewing company
MFBXT,museum of fine arts
W740J,sakura japanese sushi  grill
XC2KQ,two lions winery  palm harbor brewery
TZGOA,clean juice carrollwood
0FY43,level 11 rooftop bar  lounge
H5I93,kristinas cafe
35M9L,the hall on franklin
0T8KU,murphys market
EUWOO,smoke barbeque and grill
J1GKB,sandbar grill
NH46Q,shephards tiki beach bar
YGQHX,kooky coconut
DWTPW,jupiter donuts of largo
SXANV,sushi tu
J83DF,muzzies ice cream  sandwich shop
58XLU,the american legion post 111
0EKI8,loves artifacts bar and grill
ZZZ0S,the shrimp warehouse
RL0XY,pour house at grand central
G47F2,the great spiedini
Y1YIV,the galley
NRZYM,cafe artemisa
VGSZG,luckie bs
3NQST,mandys restaurant
S1W58,cafe de siam
M4N8Q,wicked wiches
S2SQA,gulf coast po boys
DLSJT,copper shaker
IHU9J,casa ramos
1S26B,tokyo bay japanese restaurant  sushi
U9KIA,empamamas
1OWXB,saltys tiki bar and beach lounge
1XT1O,maple street biscuit company  downtown st pete
KI65S,proino breakfast club restaurant
2IG6A,angry pepper taphouse
WRW6Y,cuban mexican restaurant
13JJ3,the westside deli
8FD78,yacht starship dining cruises
5HOPJ,got sushi
53X0I,pho viet restaurant
6C0ED,not your average joes pizza
R39TU,sunset grill at little harbor
2JTQ5,tailgators sports bar  pizza pub
X6QBL,frammi american grille  italian food
ITG2Q,the eagle cafe
GF19C,city grill
BQ20N,the left bank bistro
RLAHP,salty shamrock
50Y8R,cjs on the island
Y2S8L,the ox
VEZ3C,chakana soho
31VI4,aguila sandwich shop
0B47P,howard frankland bridge
SYYB7,the great catch  zephyrhills
QOOHT,st pete diner
K018O,thai prime kitchen  bar
CWJIH,thai samurai
T0KYW,mikes smokehouse bbq  grill
XW5D1,hawkeyes new york style pizza
YX87H,extreme pizza  clearwater beach
41C27,catrinas tacos and tequila
9GYBR,busch gardens food  wine festival
5RNR5,la cucina internazionale
EWK3P,backwaters on sand key
6AI1G,savannahs cafe
KSF1Y,capitol beer house
YVQFP,tokyo japanese steakhouse  sushi bar
NP72C,intelligent gourmet
OXSP7,hometown buffet
X4ZFI,beef o bradys   oldsmar
LW2SV,snowman rolling ice cream
ILPS0,irish 31  wiregrass
5SMNX,ming ming tea cafe
0E811,woodwright brewing company
WB450,reading room restaurant
3Y1P1,the shave cave
M7EUX,thinh an kitchen  tofu
ZIRC2,woodys pizza  wings
MLDM2,nakaya japanese bistro
GZHF1,green land restaurant
52CB0,bar milo
AHYFI,jotos pizza  belcher
9GGVR,brooklyn express
E6URM,la fiesta mexican store
W8L3T,latino supermarket
RLJFI,willards tap house
HDV40,marinas pizza  pasta
3PPMQ,nancys home cookin
U37CS,cafe europa
JNZN4,dockside daves grill
L6DOL,oldsmar smokin bbq
5UQZV,rib shack bbq
RUVW1,the venue
RLTZ2,windjammers restaurant
UHW2E,pierogi grill
SUENI,hanks catfish  bbq
DGI5L,sideberns
LI9N3,shrimp boat grill
20IUI,rice bowl
G6Y9T,publix super markets deli
TMJ3F,wing box
IPX9G,the shipwreck
7GMI6,la deja vu bistro
I2TFD,salernos
JVEGI,fish tail willys
AEB2Q,siam thai
80PJO,pita republic
MINSJ,muddy water kava  tea
CRDOF,trang viet cuisine
V1B1O,harold seltzers steak house
LA2LV,rush hour chicken  waffles
8AJO3,mamas southern soulfood restaurant
2KI9G,cuve 103
PEIW3,tamarind indian cuisine
7K0US,flapjacks pancake house
2VLT3,w xyz bar
ORHW0,the breakroom bar  grill
BT9IE,bayshore breeze
MLAAN,mastrys brewing
F4HTX,harveys 4th street grill
BRIT8,side door deli
V85DR,mikes sushi  sake bar
XO6S3,waterin trough
VP4Y3,the corner store
PW6JO,italiasia
NKJNJ,milk  honey tea room
S539H,henrys chicago style
T3J5R,thai basil
VP214,the franklin
3TM13,rubys elixir
2CASR,taste of boston
UVKGR,steelbach at armature works
NW7PX,circa 1925  derby lane
0Z6ZY,pastries n chaat
F4KPK,cmx cinbistro hyde park
CK9W0,varsity club sports bar clearwater
KQV33,mang latin caf
D168U,one family korean restaurant
WEXVX,thirsty first
PWDI0,montys pizza
K02C8,vallarta mexican restaurant
10RYP,duckweed urban grocery
S0AP7,schillers german delicatessen
HLBFX,cellos charhouse
PI3QY,chopsticks super buffet
R15C0,boathouse kitchen  bar
1FAAA,phoedin
DMQ74,cheers 54
V7B2G,paradise biryani pointe
EA3PF,11 chicks
1V3W4,bob heilmans beachcomber restaurant
PWOXV,catch twentythree fish hawk
CDLCJ,mariscos el pulpo restaurant
6X6WG,nicks pizzaria and wings
3SEUM,taquitos mexican
ARG06,fabrica pizza
YBGTX,orpheum
P88DM,coffee grounds
Z1XV8,sushi ninja tampa
ZAY3O,grille 54
IFKFN,bishop tavern  lounge
35SGU,little ninja thai japanese food  cafe
GXW6F,sushi alive asian bistro  raw
I6MSH,leden cafe  bar
RFGR8,pdq waters
Y3V15,new beijing
DPI53,lornas one stop jerk center restaurant
XYTSC,neptune grill
U9O9K,moscatos bella cucina
34CCC,island deli
QU8CU,stillwaters tavern
S6J72,palma ceia village health market
G6DXZ,mamma lanes coffee house
CDBY4,ns food and gifts
11MGU,hampton station
7RD83,tipicos
NZV1U,the vine baking
L3T23,ginos ny style pizza
ZHS21,wentworth golf club
E6H5K,nikos place restaurant  bar
33BUA,20th hole bar  grill
6WAS8,golden wok
R6UDM,golden phoenix
WWITA,bernini restaurant
NKM6Y,big rays fish camp
KOEEC,daddy os donuts and bakery
FBZKK,ricky ts bar  grille
L8DRZ,annata wine
OE6TT,seaguini
68RFC,sushi wave
GEYYZ,jimmys sushi bar
5IQVJ,beacon pool bar  lookout
08XHA,kumo japanese steakhouse  sushi
ML9PI,blue parrot
W7337,islands cantina
3420A,the honey pot
GCC43,circles waterfront at lands end marina
HOCOK,brickhouse pizza
RG1QP,wrights gourmet house
E4I4S,amarit thai restaurant
XL0ZF,beach bound deli
L92SO,the queenshead eurobar
L1N7K,cajun cafe on the bayou
H6Z63,eatwell kitchen
DIHLU,sushi kampai japanese restaurant
DS8JY,massimos
SL2TE,the chattaway
C42W9,jimmys neighborhood restaurant
HT96A,jackies bistro
6LYO2,sabai asian bistro
F3M81,chop chop shop
V86EO,wheatfields cafe bakery
6BHSK,kojaks house of ribs
CCGZF,villaggio
BKYHQ,spotos steak joint ii
326UP,best ny pizza
2BIHE,captain bills
8HRFP,down by the bay cafe
8FIMC,la fondita de leo
SIA1X,don pan
XT5HR,the grille at westchase
LJKHI,goral polish deli
PSE17,cafe alfresco
4HC1M,features brewpub
RH686,saigon bay vietnamese restaurant
6DLEP,fiores restaurant
FS871,speggtacular clearwater beach
MTNIK,rollbotto sushi
XQCET,tate island grill
32VNZ,clich nightclub
5O9DE,sono cafe
JYG0X,natures table of city center
Q7ZP7,evermore cafe
B8MHF,austrian peppers
FQFSZ,the tampa buffet
XT264,the fox jazz cafe
SNHWA,edwards havana nights
V3B1E,thirsty marlin
3LJR0,shells seafood restaurant carrollwood
C5J8F,la teresita cafe
D51H3,wild wing cafe
A25RE,giannis ny pizza
LIQCA,the blind tiger cafe  soho
F4KHC,north island bar  grille
40NMH,the number one fast food
J2O6D,cassis st pete
1E8QJ,proino breakfast club
VXPU9,island way grill
99YZI,pita grill fresh
9H0KN,the great catch
932AX,fetishes dining  wine bar
PN1IT,tommys paradise
3RNC0,ravello pizzeria
RC8QM,scoreboard sports bar  grill
40B5L,fresh healthy cafe
HLT90,athenians gyros  chicken
K5OMM,fuma bella
C2ETO,lombardi cafe
WZKGE,sub shak
MESVT,rollin oats market  cafe
D4VKY,chikos pizza
RZ6NC,fins
1MBEU,boca  brandon
1939H,bay pizza  dinners
D3400,alfonsos pizzeria
YY6JO,tap city tavern
MERRC,callys sticky bones bbq
1W8T9,ha long bay  the spot
GF9NG,whiskey joes bar  grill  tampa
A9GB1,bizou brasserie
JST82,nickos fine foods
PCG9G,cage brewing
W6L0R,pollo rumbero
N8SID,sea salt
8RF7X,pauls chicago pizza
OTN2D,yard of ale gastro pub
1VJ5C,original pizza ii
T9JYR,19 bar  grill
PUAXN,sans pizzeria
0HFBI,world of coffees and tea
EEOHS,pias trattoria
XE764,healthy hut market  cafe
4HYUB,cafe kili
ZHAK9,escape root juicery
H58ZP,blue fugu
SZ0XO,enigma bar  lounge
OINKT,uncle rodneys rib house
2BD3Y,curry bowl
CYS5H,the corner family restaurant
6SNLE,brio italian grille
XNM1F,urban comfort
G9Q0U,bravo ny pizzeria
JREVW,tampiz
6G9DR,rococo steak
1KU04,lins express
MU37N,fresh market of hyde park
GTBGH,yoyo juice
3F1QX,mandarin hide
3FQBY,pizza cones
QCC0L,calis on mandalay
JNLXS,the comfort cafe
WO1WL,lis chinese kitchen
K0N03,packards
8DRDM,the hangar restaurant  flight lounge
C4EO3,stone soup cafe
T3IYX,happy salmon
A0LIT,jonny renos waterfront grille
FUUO3,mirage restaurant
TS2BU,castaways beach bar
02CZO,the stone soup company
M3RWM,28 grams pizza
Z6BGX,michaels deli  produce
KMI3F,the blind goat food and drink
AY7YU,zen forrest
2A7PH,sushi lover cambok
CMV9X,champps restaurant  bar
VIMMW,open faces sandwiches
WH6UA,top thai restaurant
XNV0N,apna kabab house
8FXSY,rusty anchor johns pass
6XZ3N,nori thai
8U04S,skidders restaurant
JCGWK,burger culture
EN4GJ,mayuri indian restaurant
NCP5U,yannys restaurant
UGM0N,grind house bar  grill
IMZ3W,larrys deli land o lakes
BT331,slyce madeira beach
JV7OC,beach shanty cafe
L24W9,pachs place restaurant
RV5D0,flacos cafe
VAILY,pho 97
LRTDF,el paraiso
JB8GD,eurotaste grill
OV9IF,drew park stadium cafe
63QXP,peking
WOV2P,cousins pizzeria
R479N,walmart supercenter
13WEE,harborita cantina
T3L5E,angithi indian cuisine
FKMBP,i thai sushi sport bars
NNMMU,frank and papi latin restaurant
WI5WV,seabreeze by the bay
DMMP2,jackson street bistro
F9KOM,the reef
FR83N,broadway kitchen and deli
BZ75Y,lolis mexican cravings food truck
FEBC8,jerseys hometown tavern
D2IT8,desanto
0K98K,corteos italian restaurant  pizzeria
Z96ID,aw restaurant
1YRVS,winners sports grill
JEBVE,perrys b b q
6OCL8,grass root
6RHGM,dollys deli  cafe
83LHC,taqueria guanajuato
M7FCG,bourgeois pig
ZQSJ1,jojos in citta
JS4XL,good vibes juice
KRE0I,la creperia caf
ZKMWA,old manhattan pizza
29DMX,winesmith
F1RXZ,tampa bay cafe  bar
Y7DA6,the golden tequila mexican restaurant
DCXE8,la pizza mia
R1Y45,bourbon street cafe  grill
7MIE0,tampa cutz
UGEOS,ny times square pizza
269QE,east bay country club special events
HX3A0,harbor bar
0KZY7,mr submarinemr gyros
BU9L6,linksters tap room  new tampa
S4BO6,forest hills grocery
UIC9I,fresh mouth
1QGFD,juanitas restaurant
YG665,sweet tomatoes express
7YBUA,southside coffee
XHJDL,joyces mini market  deli
BV572,los gorditos lounge
V11P9,old earth pure organic food
FNZVL,florida bakery co
M97KJ,luna grill  coffee
PTYNN,daiquiri shak
45ROK,bell shoals barber shop
PF06U,pittsburgh mix
89X0K,el rincon mexicano
QRF5X,urban bungalow
FRYHK,soda pura vida
RN1JZ,trattoria168
7VMNK,skips bar  grill
F73UA,yo yo sushi
3NL4I,my greek corner
GK43P,urban culinary cuisine
KY9H9,tracy and company
9I3HK,dockside sports bar  grille
YPCBR,fat tortillas food truck
Y268C,jalapeno mexican grill
HFRCR,the brooklyn bakery
Z5IP4,j  z china buffet
X06VC,mangroves grille
CFC2Y,makos on the rocks
EZR98,taco vanny
P3PFX,tarpon springs yacht club
77D6X,st angelos pizza and wings
KNIIT,gayles restaurant
6AZ82,jazz n hair studio
VN65W,vcibo
6FOU5,kimmy ds 49th street cafe
NLJQM,babylon hookah lounge
WJQDY,season chinese restaurant
0HS2K,cusos beach place
U53U0,sunshine bagel company
KG3S7,jadefire sushi bar and asian cuisine
YR2C9,mosquito grill  bar
82PNH,creative souls cafe
5G1VY,cafe orlando
IPY4L,no1 wok chinese restaurant
T3L0G,anthonys
UX86V,cafe tenoone
6DNRK,vampire penguin
5NSX8,casa 21
0PA09,the restaurant home cooking
3ARTR,derby lane
5BHR1,espositos espo pizza
2HP0V,kreyol delight
DG85U,toucans ale house
92QLJ,zo lounge
J94Q6,sport clips haircuts of tampa  northdale
6ERPV,snooties bbq
14N9O,chicos woodfired grill
2QFQL,noahs filipino restaurant  catering services
IWTEH,boots n badges
SA7IC,301 barbershop
T5VWB,ringside cafe
RG003,three olives
XXJAG,the cut barbershop
F8XK7,hungry howies
J03A2,paradise grille
BSY4S,alvins lounge
JFQ9R,kabuki japanese restaurant
YWAI0,taste of eden bistro
L9PG0,taste safety harbor
E25C6,the quick red fox
CM4IB,el caballero de los mares
GXKS5,the white room  lounge
G8RLM,orbit 19
NT1DA,berryism yogurt
F1HUX,la sandwicherie
13HJL,shanghai express
6GL6Y,the mancave
1ZEJH,alqassam supermarket
6TVA7,underway cafe
3U0UO,a taste of asia restaurant
CMDK9,sam sneads grill and tavern
XLCPW,barbs drive in
6TOQU,strike city
Q167O,el noa noa mexican store
PMFAW,georges grill
49E2H,frutta bowls
IUOR6,famous greek salads of florida
Z1051,azteca rojo
Q3FIA,pizzafire
1Z2L3,cheers barbershop
356I5,sphinx cafe
RNHO8,wilsons cocktail lounges
BQBL0,adrianos rosies cafe
WPE0L,tea rose cottage
OXD4G,pierogis  more
5W3N9,rubios coastal grill
3DAUK,cafe cure
FRP6K,san ann liquor store  lounge
UYZUN,shantys bar  grill
5X9HX,pisco restaurant and bar
HP9VH,jacksons slice  rice
F4UQV,paniniriffic
SNJ4Q,coronas coffee shop
RVJR6,zine barber shop
B0QAY,italian bakery caf
GJEKZ,roaming gourmand
ZAT04,the german deli  jgerstble
O6ZGQ,sullys tavern
GJYFY,ollies on the beach
9SPAX,la fiebre del sabor criollo
7ZMIG,tomfoolery lounge
RMF9E,blue nile
QVV1Q,fairway cafe
4LKKI,maryses caribbean cuisine
RUO5J,nutri truck
X9TT6,mr sushi
UV5EO,nebraska mini mart
1000V,whatever pops  sparkman wharf
ORRQR,pinellas grill
F6LV2,gias blue water taqueria
JWU3E,wakamole truly mexican
UPKAC,dominos
Z4XJE,scone age bakery and cafe
0TFKE,the asian kitchen
7LXVC,brandon martini live
Q3YPR,networking leads coffee house
WV0RU,the barbers club
JK824,fade away barbers
N0W57,lucky dill westshore
IBLJK,open cafe
CZFXX,i got dreads on loc
OL81I,sausage laboratory slab
H9KQC,authentic famous filipino restaurant
NUC41,gershys cafe  pastry
HWVQS,la las sangria bar
G0U8F,vinoy salon  day spa
339SN,the nona slice house
09G9Y,madeira beach juicerie
P4R4F,blush tea and coffee
1SLVK,tea lounge
39RTZ,tk grill  barbeque
DUHFX,fergs dog park  grill
DIISF,pure barre  brandon
EXJSJ,the outpost on gandy
FIXZZ,remedy
EPYRN,kabab house
FPY01,stanfords jerky
ZO68U,la mini super market
GAQQZ,quench lounge
IYT0R,the barbershop tampa
1GU6B,kathys spring hill diner
QBHAV,scoreboard lounge
LISZH,apps  tapps
W4122,brunos bakery cafe
DQFU1,social house
X29PR,chai mixology
KZ7BO,the corners
ME34R,bt in a box
DHCWP,fork  hen
WITWR,doubles sports bar
A0SSO,the crooked wood bar and grill
EUD9Q,nicos cheesesteak factory  pizzeria
1U2DT,montados by mise en place  sparkman wharf
NKU81,simply fruit
KGB3H,regina margherita
M4HF5,three bulls tavern  brewery
C2CFX,more italian bistro  pizzeria
Y2EKP,the twisted indian
LW9BF,restaurant salsabor
9MZRE,downtown boricua grill
16XCR,mios grill  cafe
KRUCJ,gulfport comfort cafe
BRUK3,famous kabab of tampa
4BYIT,mermaids gentlemans club
N07NA,tropical smoothie
NWU31,pineapple espresso
L69OI,rockin wings
3SRSL,empanadas  arepas factory
SM783,giovannis fresh kitchen
IIPG8,natures cafe  pantry
SZY3U,new york chinese buffet
M4ZM7,juice factory
KUS42,joffreys coffee  tea
XSCUZ,tacos el borracho
C63IE,7th  grove
B3N6D,spanish tapas cafe
EKVSK,charleys american bar  restaurant
N8BIP,maria banana cafe
LSHK1,philly grill
I8WN0,cigar paradise royal lounge
XKNI0,black sheep american pub
3GA8D,tangra nightclub
IY0G4,gulf harbors beach club
YG3RF,bogota kitchen  bar
JVG5F,tylerz barbershop
1RNAY,gingers cafe
HNXC6,jillybeans ice cream  treats
ZODPS,fresh n fun
9ZAFE,rooster thai sushi
XRLNN,q southern bbq  catering
QON4Z,blufin waterfront grill
URDSY,luna cafe
X02Z1,haiku tampa
IZOVM,beccofino
GT3VQ,brandon vegan deli
F4O16,clean juice trinity
W55KN,book  bottle
PZLKV,chicagos best burgers
QIMVO,the saucy crawfish
3SK8W,mamajuana caf tampa
Z9YG5,egg haven cafe
AR27D,sams gyros and seafood
7L4ZO,taqueria gonzalez
5EMQO,buona ristorante
WY6IH,sabines gout creole
TI7VW,viet kitchen
AYEXJ,roxys
IFQTC,the local draught house dtsp
FJVPX,ibbis q
XVTQ4,caddys  madeira beach
DOMAW,frenchys to go
H6CWM,driftwood kava  roastery st pete
APWDW,bin  board
9BHV5,anchors bar and grille
TPI60,three brothers pizza express
XZCF5,miami avenue
I92S4,we the pizza
LARVS,orange belt cafe
MKY14,whitneys fresh market
XEOBD,3d sushi thai lao
2W3QZ,millers ale house  allentown
ERDZH,gios cuban cafe
GXPZ3,lucky cup coffee
WGGPN,oronzo
VQ1ZA,mr i got em
68CP4,pin on cafe
KVW6J,payaathai cuisine
N9JRO,jotoro kitchen  tequila bar
L7UMC,clear sky club haus
V5SZ4,island fin poke
K8KS4,xochitl cocina mexicana
3X3N9,joeys new york pizzeria  italian restaurant
Z4R1D,stefano
L355L,meltd
CXKUY,gangchu
L7O93,cuttin up
ESH3F,wonderwaffel  tampa
BWV87,medilish mediteranean grill
KANLE,nah dogs vegan hot dog cart
TS83F,bishops  st petersburg
6J3XG,india gate
FHDFY,loritas
L9V9O,wraps and kabobs
YBYBD,jinju korean grill  sushi
ZB771,its just wings
N08OU,saltys sandwich bar
2782A,modernesian kava social
B7PWV,yummy caf
XY1ZF,main course restaurant and lounge
PQRHU,tfk african restaurant
HAUBF,circo italian kitchen  pizzeria
H9PZJ,lucky lizard tap house
DWV7L,sus hi eatstation
QHTFT,santelli pizza  pasta
BT8C4,backyard grill and patio
T5B9D,kallejon 813
EI50H,kakachi juicy shrimp n wings
NK018,burnin barberque and more
O27QR,hemingways cuban kitchen
6Q178,dirty laundry
6U8ZL,oishi sushi bar
N1836,protein monkey
4D1QH,al  stella
CI4S4,dominics pizzeria
1YFN2,sakura asian cuisine  sushi
GA16U,peabodys
9X9IR,fox hollow golf club
0FTYS,cephas hot shop
FPSHK,bills barber shop
WBNX4,hyderabad biryani house
VQNXM,bakers hogley wogley barbecue
P28M4,benjarong thai
KXFDA,stassis italian grill
8AGEN,south tampa pilates
VF2OA,zerillos italian grill
KPHNH,cafe hey
4USV3,casa mexicana bar  grill
WR4TL,zom hee chinese restaurant
OCBTM,brgr kitchen  bar
YCO62,beef obradys
YZPAR,ozona blue grilling
33JYS,taiga club
F6GJT,mahuffers
SD2ZE,pizza pazza
CZ97O,shrimp  co restaurant
CD8SF,dixies dog house
7T23H,courigans irish pub
CCEWT,seor taco
PZEBI,mi casa restaurant
VSVJU,la herencia de cuba
TX1I7,earth origins market
B28PJ,time out sports bar
EE2KF,clear sky cafe
N2QCT,beach hair affair
LXSLB,obriens irish pub  grill
DMVQV,shrimpwrecked
3WN8M,jubao palace noodle bar  seminole hard rock tampa
ZE26M,1895 kitchen bar market
RRQRT,buya
08GT4,dunedin house of beer
IF2QY,ichiban buffet
MN49S,chicken yummy
7DU4F,wings  buckets
S33G4,brix 33 fine wines and bistro
1XSU7,ricks italian cafe
RX6YP,400 beach seafood  tap house
72WDD,royal palace thai
XDP4G,bollywood spice indian cuisine
BMCR4,kara lynns kitchen
IRVK6,oldsmar tap house
5P91F,nitallys thaimex express
N9QA0,the pub tampa bay
KL97B,red mesa mercado
5KARC,kahwa coffee
6MAJ6,la casa cafe
FITPQ,rawk star cafe st pete
08NXH,hula girl oyster bar
EDADJ,shuffle
5UKVC,gattitown
YKO8Q,220 east
Q8JMP,bartaco
4ZBCF,twisted martini bar and grill
NWYD1,ginos pizza  brew
