id_trasporte,trasporte,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
51HS4,Enterprise Rent-A-Car,3500 45th St,WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,33407,26.7583182,-80.1082648,Florida,,,,,negativo,2024
51HS4,Enterprise Rent-A-Car,3500 45th St,WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,33407,26.7583182,-80.1082648,Florida,,,,,positivo,2024
51HS4,Enterprise Rent-A-Car,3500 45th St,WpVu,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,AT0H,West Palm Beach,33407,26.7583182,-80.1082648,Florida,,,,,neutral,2024
DB6NN,Allen's Towing Service,2954 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32207,30.2990589,-81.6420259,Florida,,,,,positivo,2024
YSXSS,Allen's Towing Service,2954 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32207,30.2990589,-81.6420259,Florida,,,,,neutral,2024
UF92D,Allen's Towing Service,2954 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32207,30.2990589,-81.6420259,Florida,,,,,negativo,2024
27X8R,Village Bike,8965 SE Bridge Rd #100,sPxs,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,OGXR,Hobe Sound,33455,27.060813,-80.1335048,Florida,,,,,positivo,2024
GF1C8,Village Bike,8965 SE Bridge Rd #100,sPxs,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,OGXR,Hobe Sound,33455,27.060813,-80.1335048,Florida,,,,,negativo,2024
5H7OM,Village Bike,8965 SE Bridge Rd #100,sPxs,Martin,"34994, 34997, 34957",27.0804935,-80.4103957,OGXR,Hobe Sound,33455,27.060813,-80.1335048,Florida,,,,,neutral,2024
XJSPK,Water Taxi Stop #3,1900 SE 15th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33316,26.1033555,-80.1199426,Florida,,,,,negativo,2024
728VT,Water Taxi Stop #3,1900 SE 15th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33316,26.1033555,-80.1199426,Florida,,,,,positivo,2024
TNA4N,Water Taxi Stop #3,1900 SE 15th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33316,26.1033555,-80.1199426,Florida,,,,,neutral,2024
YFJOR,Willie’s Bicycle,7915 Biscayne Blvd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33138,25.8482347,-80.1844787,Florida,,,,,positivo,2024
E3MAF,Willie’s Bicycle,7915 Biscayne Blvd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33138,25.8482347,-80.1844787,Florida,,,,,negativo,2024
H16Q0,Willie’s Bicycle,7915 Biscayne Blvd,WjZA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,LO98,Miami,33138,25.8482347,-80.1844787,Florida,,,,,neutral,2024
LVUG9,Legit Rentals,513 19th St,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32805,28.5223417,-81.3850878,Florida,,,,,positivo,2024
ZIBN1,Legit Rentals,513 19th St,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32805,28.5223417,-81.3850878,Florida,,,,,neutral,2024
Q89K6,Central Moving & Storage Inc,2002 Directors Row,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32809,28.458035,-81.40584,Florida,,,,,positivo,2024
3WW7S,Central Moving & Storage Inc,2002 Directors Row,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32809,28.458035,-81.40584,Florida,,,,,neutral,2024
9TN72,ONS RENT-A-CAR,1973 17th St,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34234,27.3525981,-82.5311147,Florida,,,,,positivo,2024
