id_centros_tiendas_negocio,centros_tiendas_negocio,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
TDBKI,Kangaroo,392 N Hathaway Ave,E4Id,Levy,"32621, 32696",29.3178545,-82.820974,8YJC,Bronson,32621,29.4477314,-82.6420006,Florida,,,,,neutral,2024
55PIP,Kangaroo,392 N Hathaway Ave,E4Id,Levy,"32621, 32696",29.3178545,-82.820974,8YJC,Bronson,32621,29.4477314,-82.6420006,Florida,,,,,positivo,2024
L9BDE,Bulk Food Superstore,3804 Sun City Center Blvd,TyeM,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,R17I,Sun City Center,33573,27.7155725,-82.3743201,Florida,,,,,positivo,2024
L9BDE,Bulk Food Superstore,3804 Sun City Center Blvd,TyeM,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,R17I,Sun City Center,33573,27.7155725,-82.3743201,Florida,,,,,negativo,2024
L9BDE,Bulk Food Superstore,3804 Sun City Center Blvd,TyeM,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,R17I,Sun City Center,33573,27.7155725,-82.3743201,Florida,,,,,neutral,2024
BY9E4,Publix Super Market at The Market at Mirada,30841 Mirada Blvd,drt4,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,DE2U,San Antonio,33576,28.3271061,-82.2960073,Florida,,,,,positivo,2024
IR6HO,Publix Super Market at The Market at Mirada,30841 Mirada Blvd,drt4,Pasco,"34637, 34652, 34668",28.3232418,-82.4319405,DE2U,San Antonio,33576,28.3271061,-82.2960073,Florida,,,,,neutral,2024
G6J5L,Downstairs,4900 N Le Jeune Rd,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33146,25.7255922,-80.2618797,Florida,,,,,positivo,2024
1HJLH,Downstairs,4900 N Le Jeune Rd,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33146,25.7255922,-80.2618797,Florida,,,,,negativo,2024
XT802,Downstairs,4900 N Le Jeune Rd,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33146,25.7255922,-80.2618797,Florida,,,,,neutral,2024
BX9HB,La Place USA Furniture Outlet,36194 Emerald Coast Pkwy,JTXK,Okaloosa,"32536, 32547, 32578",30.5773401,-86.6611083,IVHP,Destin,32541,30.3863412,-86.4053131,Florida,,,,,positivo,2024
91MFL,Nutri-Corner Protein Smoothies and More,601 Lake Minnie Dr Suite 4010,Lxt1,Seminole,"32707, 32746, 32773",28.7131688,-81.2078164,PAIF,Sanford,32773,28.7505945,-81.2916622,Florida,,,,,positivo,2024
KTR5Q,Texaco,7148 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32256,30.2430293,-81.5997576,Florida,,,,,positivo,2024
8302J,Texaco,7148 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32256,30.2430293,-81.5997576,Florida,,,,,negativo,2024
