id_nombre,nombre,nombre_normalizado
A9O0,Dental care of lehigh acres,
8247,Main street children's dentistry and orthodontics of ocala,
1IUZ,Paton chiropractic and sports medicine,
FJFK,"St. francis sleep, allergy & lung institute",
23W2,Dr. jay kuchera,
H1EG,"William l. eickhoff, dds, pa",
1OJH,Christie dental of meadowcrest,
ZMR1,Smiles on florida,
PP9W,Cvs pharmacy y más,
OZ1K,Smp pharmacy solutions: retail & specialty,
89FY,Pines animal hospital - vetco total care,
V74B,"Bright dentistry, inc",
2A9F,Sands chiropractic clinic,
7B38,Fyzical therapy and balance center - sarasota,
81F0,Medical marijuana,
CIXP,Publix pharmacy at country club corners,
YA24,Pt solutions of pensacola,
1GTX,Seneca healthcare & wellness center,
WQOT,Mitchell hammock pet hospital & boarding,
ER9F,Women's care florida (palm beach ob-gyn),
VRCG,Lawrence n klein dds pa,
YAAO,Walmart pharmacy,
GHDP,Smile direct club,
UF2X,Highland lakes dental,
UEHZ,First impressions smile center,
ICGM,Deerfield beach partners in dentistry pa,
HG16,Starfish pediatrics,
XT2W,Quickrx@bartow,
LXFS,Ability rehabilitation,
YKDY,Gentle care dentistry,
Z7U1,Orlando psychiatric associates (ocoee),
XFI6,The orthopaedic institute - ocala,
NMCB,Chasewood animal hospital,
UUF1,Hope health & wellness,
BRVT,Boyette dental of riverview,
0VXN,Farmacia 22-24,
2WI4,Bay pines veterinary hospital,
O92G,Optimum dentistry of coral springs,
UQGI,"Tracey a. taylor, aprn",
PTH9,Vca sanibel animal hospital,
7T9Y,My salon suite® of st. petersburg,
KF8O,Brandon riverview medical associates,
UQDA,Vida dental coral gables,
P85O,Sanford discount pharmacy,
5VGC,Mai dentistry of hudson,
PF1D,Orlando psychiatric associates,
KZYK,Gulf coast vision center,
GPU9,Total dental & denture care: lantigua kelvin dmd,
1ZQQ,"Sister's medical clinic, inc.",
SF2O,The dental emergency room,
8NJK,Poinciana woman's health center,
M0MS,"Dr. scott jaffe, md",
VX85,Path medical - hollywood,
EJR6,Crosswater animal hospital,
NVHR,"Sue george, m.d.",
EVKV,Bgr dental of wpb,
V04R,Purely you spa,
Z257,Towncare dental of altamonte springs,
7B0B,Seacrest dental miramar beach,
QMS1,Spine & orthopedic center - deerfield beach,
F0OF,Dadeland oral surgery,
B3B2,Whispering pines dental,
